region,Округ,Год,Наименование,№ строки,projects," Численность участников форумов соответствующего уровня, чел", Объeм рег. финансирования (в том числе посредством финансирования транспортных и, Объeм мун. финансирования (в том числе посредством финансирования транспортных и
Камчатский край,ДФО,2021,Региональные и межрегиональные молодeжные форумы,57, 1 , 105 , 100 005 ,
Камчатский край,ДФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 5 , 227 ,, 262 250 
Камчатский край,ДФО,2021,Всего,59, 6 , 332 , 100 005 , 262 250 
Республика Карелия,СЗФО,2021,Всероссийские молодeжные форумы,55,, - , 692 665 , - 
Республика Карелия,СЗФО,2021,Окружные молодeжные форумы,56, 1 , - , - , - 
Республика Карелия,СЗФО,2021,Региональные и межрегиональные молодeжные форумы,57, 1 , 300 , - , - 
Республика Карелия,СЗФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 7 , 6 225 ,, 6 236 
Республика Карелия,СЗФО,2021,Всего,59, 9 , 6 525 , 692 665 , 6 236 
Кемеровская область,СФО,2021,Всероссийские молодeжные форумы,55,, 324 , 1 469 000 , 415 467 
Кемеровская область,СФО,2021,Окружные молодeжные форумы,56, 2 , 317 , - , 4 000 
Кемеровская область,СФО,2021,Региональные и межрегиональные молодeжные форумы,57, 6 , 1 700 , 647 610 , 200 000 
Кемеровская область,СФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 16 , 2 312 , - , 233 141 
Кемеровская область,СФО,2021,Всего,59, 24 , 4 653 , 2 116 610 , 852 608 
Кировская область,ПФО,2021,Всероссийские молодeжные форумы,55,, - , 638 004 , - 
Кировская область,ПФО,2021,Окружные молодeжные форумы,56, 2 , 218 , 1 085 215 , - 
Кировская область,ПФО,2021,Региональные и межрегиональные молодeжные форумы,57, 12 , 1 739 , 3 632 164 , 65 840 
Кировская область,ПФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 6 , 495 , - , 16 970 
Кировская область,ПФО,2021,Всего,59, 20 , 2 452 , 5 355 383 , 82 810 
Республика Коми,СЗФО,2021,Всероссийские молодeжные форумы,55,,, 1 031 000 ,
Республика Коми,СЗФО,2021,Окружные молодeжные форумы,56, 1 , 130 , 6 100 000 , 31 400 
Республика Коми,СЗФО,2021,Региональные и межрегиональные молодeжные форумы,57, 5 , 183 , 50 000 ,
Республика Коми,СЗФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 9 , 880 ,, 468 000 
Республика Коми,СЗФО,2021,Всего,59, 15 , 1 193 , 7 181 000 , 499 400 
Костромская область,ЦФО,2021,Всероссийские молодeжные форумы,55, - , - , - , - 
Костромская область,ЦФО,2021,Окружные молодeжные форумы,56, 3 , 700 , 635 952 , - 
Костромская область,ЦФО,2021,Региональные и межрегиональные молодeжные форумы,57, 2 , 200 , 383 300 , - 
Костромская область,ЦФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 20 , 707 , - , 270 729 
Костромская область,ЦФО,2021,Всего,59, 25 , 1 607 , 1 019 252 , 270 729 
Краснодарский край,ЮФО,2021,Всероссийские молодeжные форумы,55, - , - , - , 291 918 
Краснодарский край,ЮФО,2021,Окружные молодeжные форумы,56, - , - , - , 14 786 
Краснодарский край,ЮФО,2021,Региональные и межрегиональные молодeжные форумы,57, 3 , 606 , 7 638 000 , - 
Краснодарский край,ЮФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 63 , 7 341 , - , 8 079 694 
Краснодарский край,ЮФО,2021,Всего,59, 66 , 7 947 , 7 638 000 , 8 386 398 
Красноярский край,СФО,2021,Всероссийские молодeжные форумы,55,, 402 , 33 138 271 , 47 700 
Красноярский край,СФО,2021,Окружные молодeжные форумы,56, - , - , 387 290 , 10 000 
Красноярский край,СФО,2021,Региональные и межрегиональные молодeжные форумы,57, 26 , 551 , 180 934 , 299 834 
Красноярский край,СФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 84 , 4 627 , 1 521 487 , 1 590 462 
Красноярский край,СФО,2021,Всего,59, 110 , 5 580 , 35 227 982 , 1 947 996 
Республика Крым,ЮФО,2021,Всероссийские молодeжные форумы,55, 7 , 4 274 , 57 100 000 , - 
Республика Крым,ЮФО,2021,Окружные молодeжные форумы,56, 1 , 62 , - , - 
Республика Крым,ЮФО,2021,Региональные и межрегиональные молодeжные форумы,57, 6 , 2 120 , 19 747 173 , - 
Республика Крым,ЮФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 12 , 2 596 , - , 292 330 
Республика Крым,ЮФО,2021,Всего,59, 26 , 9 052 , 76 847 173 , 292 330 
Курганская область,УФО,2021,Всероссийские молодeжные форумы,55, - , - , - , - 
Курганская область,УФО,2021,Окружные молодeжные форумы,56, - , - , - , - 
Курганская область,УФО,2021,Региональные и межрегиональные молодeжные форумы,57, 3 , 360 , 1 180 000 ,
Курганская область,УФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 6 , 613 , - , 144 000 
Курганская область,УФО,2021,Всего,59, 9 , 973 , 1 180 000 , 144 000 
Курская область,ЦФО,2021,Всероссийские молодeжные форумы,55, 1 , 140 , 1 707 600 , - 
Курская область,ЦФО,2021,Окружные молодeжные форумы,56, 2 , 420 , 3 659 800 , - 
Курская область,ЦФО,2021,Региональные и межрегиональные молодeжные форумы,57, 7 , 7 200 , 7 044 957 , - 
Курская область,ЦФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 39 , 5 855 , 190 000 , 385 873 
Курская область,ЦФО,2021,Всего,59, 49 , 13 615 , 12 602 357 , 385 873 
Ленинградская область,СЗФО,2021,Всероссийские молодeжные форумы,55, - , - , 1 157 150 , 11 000 
Ленинградская область,СЗФО,2021,Окружные молодeжные форумы,56, 1 , 500 , 35 803 277 , 12 000 
Ленинградская область,СЗФО,2021,Региональные и межрегиональные молодeжные форумы,57, 3 , 161 , 4 207 213 , 306 210 
Ленинградская область,СЗФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 17 , 1 000 , 76 000 , 3 823 486 
Ленинградская область,СЗФО,2021,Всего,59, 21 , 1 661 , 41 243 640 , 4 152 696 
Липецкая область,ЦФО,2021,Всероссийские молодeжные форумы,55,,,,
Липецкая область,ЦФО,2021,Окружные молодeжные форумы,56,,,,
Липецкая область,ЦФО,2021,Региональные и межрегиональные молодeжные форумы,57, 2 , 325 , 4 980 955 ,
Липецкая область,ЦФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 14 , 6 022 , 208 000 , 607 898 
